id,nombre,horasTrabajadas,sueldo
927, Robinia, 120, 10000
931, Callie, 75, 10000
950, Lonna, 120, 10000
966, Karon, 88, 10000
968, Berenice, 325, 10000
980, Brana, 60, 10000
982, Sharai, 75, 10000
992, Trenna, 90, 10000
16, Iver, 90, 12000
52, Carline, 220, 12000
58, Lianna, 220, 12000
81, Kylila, 325, 12000
85, Trenton, 88, 12000
114, Freddie, 180, 12000
118, Stu, 60, 12000
127, Cindelyn, 60, 12000
148, Benton, 180, 12000
151, Meryl, 220, 12000
157, Maryjo, 60, 12000
169, Farley, 325, 12000
199, Eliot, 60, 12000
206, Borden, 88, 12000
215, Nita, 60, 12000
216, Nikoletta, 120, 12000
222, Marina, 120, 12000
233, Peter, 120, 12000
257, Jori, 180, 12000
262, Melisa, 88, 12000
297, Ddene, 220, 12000
300, Zabrina, 88, 12000
303, Charin, 180, 12000
306, Silvan, 75, 12000
309, Ernestus, 60, 12000
313, Franchot, 220, 12000
320, Donaugh, 120, 12000
326, Lina, 120, 12000
342, Floria, 60, 12000
347, Tarra, 75, 12000
379, Crawford, 180, 12000
402, Rachel, 325, 12000
410, Fidelia, 60, 12000
414, Morie, 180, 12000
420, Lothaire, 180, 12000
432, Wade, 325, 12000
433, Emmit, 180, 12000
438, Gardie, 90, 12000
463, Shea, 120, 12000
465, Carley, 120, 12000
476, Abigael, 90, 12000
498, Gretchen, 180, 12000
508, Lin, 120, 12000
523, Eddy, 88, 12000
538, Caren, 75, 12000
549, Josiah, 120, 12000
550, Mathe, 180, 12000
551, Gauthier, 88, 12000
564, Briney, 88, 12000
584, Basil, 120, 12000
613, Evin, 325, 12000
627, Nicola, 75, 12000
647, Felike, 220, 12000
648, Ethan, 90, 12000
653, Harmonia, 75, 12000
654, Damara, 180, 12000
657, Boothe, 75, 12000
660, Cindi, 325, 12000
661, Shermie, 120, 12000
666, Caritta, 88, 12000
667, Kennan, 120, 12000
681, Burgess, 120, 12000
702, Rikki, 90, 12000
705, Ariella, 60, 12000
738, Silvie, 120, 12000
742, Silvano, 220, 12000
745, Gordon, 325, 12000
751, Jude, 180, 12000
783, Crosby, 60, 12000
800, Daffi, 90, 12000
814, Obadiah, 60, 12000
820, Mag, 88, 12000
833, Oby, 325, 12000
853, Eve, 180, 12000
864, Alonzo, 325, 12000
878, Ralf, 120, 12000
879, Barbey, 325, 12000
890, Madel, 180, 12000
904, Josiah, 325, 12000
917, Luis, 60, 12000
919, Calypso, 90, 12000
922, Wenda, 90, 12000
956, Sioux, 120, 12000
962, Burty, 60, 12000
965, Kirstin, 180, 12000
970, Noach, 325, 12000
971, Mercedes, 180, 12000
977, Wenonah, 325, 12000
983, Josi, 120, 12000
994, Raquela, 180, 12000
997, De witt, 88, 12000
10, Aggie, 75, 15000
11, Brandea, 180, 15000
20, Bellanca, 88, 15000
21, Bobbye, 180, 15000
30, Toby, 180, 15000
31, Franny, 325, 15000
48, Noella, 120, 15000
53, Hyacinthie, 75, 15000
63, Loy, 120, 15000
67, Blanch, 75, 15000
68, Cristobal, 120, 15000
71, Shaughn, 90, 15000
83, Lesya, 90, 15000
91, Sully, 60, 15000
96, Martino, 75, 15000
111, Petey, 120, 15000
113, Johnathon, 90, 15000
121, Patrizio, 60, 15000
125, Esteban, 88, 15000
126, Fonzie, 325, 15000
136, Gideon, 180, 15000
146, Armand, 60, 15000
152, Babbie, 120, 15000
159, Kipp, 90, 15000
161, Ferdie, 120, 15000
163, Pascale, 220, 15000
167, Didi, 60, 15000
180, Nial, 325, 15000
191, Bethina, 75, 15000
202, Yorke, 88, 15000
228, Jeniece, 180, 15000
238, Leeanne, 120, 15000
275, Charmian, 60, 15000
278, Emory, 220, 15000
283, Osbert, 325, 15000
331, Booth, 88, 15000
333, Cornie, 75, 15000
376, Vikky, 90, 15000
381, Silas, 90, 15000
383, George, 325, 15000
421, Neila, 120, 15000
422, Jennifer, 220, 15000
423, Keelby, 325, 15000
431, Smitty, 220, 15000
451, Margalit, 75, 15000
453, Portie, 220, 15000
464, Liana, 90, 15000
469, Chrisy, 60, 15000
489, Dorothea, 75, 15000
495, Willey, 220, 15000
503, Patton, 60, 15000
542, Gene, 90, 15000
557, Babbie, 75, 15000
558, Caren, 90, 15000
560, Hesther, 88, 15000
561, Sasha, 88, 15000
565, Rutherford, 90, 15000
570, Retha, 220, 15000
572, Antonella, 90, 15000
576, Corrina, 75, 15000
583, Annabell, 180, 15000
590, Trumaine, 325, 15000
605, Minda, 90, 15000
607, Lydia, 325, 15000
609, Bernita, 325, 15000
624, Giraud, 90, 15000
663, Millie, 90, 15000
725, Cristina, 90, 15000
736, Arvie, 325, 15000
741, Carleton, 75, 15000
755, Dorian, 325, 15000
756, Kaitlynn, 88, 15000
782, Laughton, 325, 15000
795, Lorianna, 60, 15000
812, Maxy, 60, 15000
834, Chad, 75, 15000
841, Shelley, 60, 15000
842, Irv, 120, 15000
875, Saw, 60, 15000
895, Frasquito, 90, 15000
896, Oberon, 88, 15000
899, Martelle, 120, 15000
915, Tyrone, 180, 15000
937, Randy, 120, 15000
945, Cherice, 220, 15000
949, Clerissa, 120, 15000
957, Floyd, 75, 15000
959, Shaughn, 90, 15000
961, Ginnie, 180, 15000
973, Guglielma, 120, 15000
999, Tamarra, 60, 15000
5, Sheelagh, 220, 18000
9, Jeanine, 325, 18000
57, Homer, 180, 18000
94, My, 90, 18000
124, Pen, 60, 18000
133, Cordy, 120, 18000
141, Coreen, 60, 18000
150, Dot, 180, 18000
168, Lodovico, 60, 18000
173, Brandon, 90, 18000
189, Maible, 75, 18000
203, Cissiee, 180, 18000
204, Jillana, 180, 18000
213, Darwin, 220, 18000
234, Pietro, 75, 18000
236, Anastasia, 180, 18000
245, Donal, 75, 18000
248, Maynard, 120, 18000
271, Larina, 60, 18000
298, Sayre, 90, 18000
319, Fan, 90, 18000
332, Eden, 75, 18000
343, Johannes, 88, 18000
359, Tully, 88, 18000
366, Klarrisa, 180, 18000
396, Iorgos, 90, 18000
419, Ed, 180, 18000
436, Felicdad, 120, 18000
437, Any, 60, 18000
444, Chrissy, 180, 18000
448, Lenora, 60, 18000
450, Alexandr, 220, 18000
512, Bird, 75, 18000
539, Christie, 88, 18000
541, Deny, 180, 18000
543, Margeaux, 220, 18000
544, Prisca, 180, 18000
545, Domini, 88, 18000
547, Marj, 120, 18000
559, Jessamine, 325, 18000
566, Lemmie, 325, 18000
585, Horatius, 180, 18000
599, Howard, 88, 18000
600, Cornall, 75, 18000
601, Emmalee, 90, 18000
622, Hestia, 180, 18000
629, Mace, 88, 18000
636, Abigail, 90, 18000
637, Rosalia, 60, 18000
692, Zorina, 75, 18000
695, Justino, 220, 18000
712, Matelda, 120, 18000
716, Elita, 90, 18000
732, Enrica, 325, 18000
743, Pancho, 88, 18000
747, Graehme, 90, 18000
758, Boycie, 88, 18000
767, Brynne, 325, 18000
768, Blakeley, 325, 18000
774, Barde, 88, 18000
778, Ingmar, 75, 18000
787, Fayre, 120, 18000
811, Susi, 60, 18000
844, Bella, 88, 18000
852, Giacopo, 90, 18000
865, Devonna, 60, 18000
866, Rubi, 60, 18000
873, Thomasa, 90, 18000
880, Josi, 120, 18000
885, Jan, 90, 18000
902, Coral, 120, 18000
908, Brittany, 180, 18000
926, Abbie, 90, 18000
932, Debby, 180, 18000
942, Vernen, 120, 18000
946, Kimberley, 325, 18000
990, Chiarra, 325, 18000
995, Maxi, 325, 18000
3, Brade, 325, 20000
14, Bronnie, 60, 20000
61, Deeyn, 88, 20000
62, Marysa, 75, 20000
84, Tatiania, 120, 20000
86, Angie, 90, 20000
116, Tracey, 75, 20000
123, Pippa, 325, 20000
135, Dunstan, 325, 20000
145, Dianna, 90, 20000
179, Lynea, 90, 20000
195, Roderigo, 88, 20000
196, Otho, 90, 20000
197, Alasteir, 120, 20000
201, Odey, 60, 20000
235, Hiram, 88, 20000
246, Adam, 220, 20000
252, Karlotte, 88, 20000
263, Orelee, 90, 20000
269, Shirl, 75, 20000
270, Edlin, 88, 20000
280, Koenraad, 180, 20000
302, Ron, 120, 20000
315, Timothea, 220, 20000
327, Nerty, 220, 20000
334, Isak, 220, 20000
335, Rand, 88, 20000
338, Filbert, 325, 20000
350, Maiga, 120, 20000
351, Heddi, 325, 20000
355, Wilfred, 180, 20000
356, Isabelle, 120, 20000
364, Junie, 90, 20000
365, Neely, 120, 20000
385, Gayel, 90, 20000
395, Livy, 60, 20000
403, Bar, 88, 20000
408, Benson, 120, 20000
409, Sileas, 120, 20000
415, Skylar, 325, 20000
417, Sibley, 60, 20000
418, Addia, 75, 20000
426, Minnnie, 180, 20000
440, Garold, 60, 20000
442, Tam, 220, 20000
443, Davon, 220, 20000
445, Ozzie, 120, 20000
446, Rina, 325, 20000
459, Karen, 60, 20000
460, Mac, 325, 20000
462, Marsiella, 120, 20000
471, Ramsay, 90, 20000
478, Brooke, 88, 20000
484, Kym, 120, 20000
506, Lothaire, 60, 20000
510, Irena, 180, 20000
511, Markos, 60, 20000
519, Ethe, 325, 20000
525, Edan, 88, 20000
528, Helen-elizabeth, 220, 20000
529, Daveta, 180, 20000
537, Ced, 90, 20000
578, Scarlett, 325, 20000
597, Isabelle, 60, 20000
602, Brian, 180, 20000
611, Pearla, 220, 20000
614, Fredia, 60, 20000
631, Ivonne, 90, 20000
632, Josepha, 88, 20000
649, Ruthy, 180, 20000
668, Katina, 180, 20000
693, Baxy, 120, 20000
706, Lia, 120, 20000
734, Silas, 180, 20000
737, Keith, 180, 20000
750, Zsa zsa, 180, 20000
766, Toby, 88, 20000
770, Barbey, 325, 20000
810, Efrem, 325, 20000
818, Hyatt, 220, 20000
827, Angeli, 90, 20000
828, Norbert, 90, 20000
829, Conan, 180, 20000
832, Olivier, 325, 20000
849, Gibb, 180, 20000
851, Sidoney, 220, 20000
874, Estella, 325, 20000
893, Annamarie, 120, 20000
912, Oren, 120, 20000
914, Curry, 88, 20000
921, Odie, 90, 20000
923, Ezekiel, 75, 20000
929, Melody, 60, 20000
933, Gui, 325, 20000
955, Delila, 325, 20000
981, Genevieve, 180, 20000
1000, Saleem, 60, 20000
2, Ulrike, 180, 25000
25, Braden, 180, 25000
26, Karim, 75, 25000
38, Roda, 90, 25000
43, Bradney, 88, 25000
49, Dagmar, 88, 25000
72, Katrine, 90, 25000
74, Cristie, 90, 25000
77, Sacha, 90, 25000
78, Morse, 180, 25000
79, Roland, 180, 25000
82, Kendre, 180, 25000
103, Desiri, 120, 25000
120, Lorettalorna, 220, 25000
143, Jenna, 60, 25000
149, Lena, 325, 25000
154, Bertine, 60, 25000
170, Devi, 60, 25000
182, Loutitia, 88, 25000
193, Zolly, 88, 25000
220, Mozes, 220, 25000
243, Brigham, 180, 25000
253, Norene, 220, 25000
255, Yuri, 75, 25000
267, Abbie, 75, 25000
282, Edie, 325, 25000
289, Dulcea, 75, 25000
290, Gordon, 60, 25000
321, Wilona, 90, 25000
375, Nanni, 180, 25000
377, Hussein, 325, 25000
384, Nonnah, 120, 25000
388, Shauna, 120, 25000
394, Gaelan, 90, 25000
400, Prince, 60, 25000
429, Coleman, 90, 25000
439, Leelah, 325, 25000
467, Svend, 60, 25000
468, Kendell, 90, 25000
479, Benita, 90, 25000
487, Rorie, 220, 25000
500, Warren, 220, 25000
504, Karie, 75, 25000
514, Vincents, 90, 25000
517, Danya, 180, 25000
533, Dennison, 325, 25000
540, Saunders, 325, 25000
548, Mab, 120, 25000
567, Dur, 220, 25000
579, Shel, 120, 25000
593, Vic, 220, 25000
608, Joshia, 220, 25000
618, Orson, 180, 25000
628, Maddy, 60, 25000
634, Viva, 88, 25000
638, Merissa, 60, 25000
644, Malachi, 60, 25000
655, Maddy, 88, 25000
665, Wheeler, 60, 25000
669, Beverlee, 60, 25000
683, Jaquenette, 60, 25000
703, Alverta, 90, 25000
713, Roslyn, 120, 25000
717, Hyacinthia, 90, 25000
735, Kaia, 180, 25000
762, Lucienne, 75, 25000
780, Tootsie, 88, 25000
789, Florella, 220, 25000
805, Fred, 88, 25000
817, Cynthia, 88, 25000
826, Yetta, 120, 25000
836, Keene, 60, 25000
854, Levon, 120, 25000
861, Pietrek, 325, 25000
877, Mac, 60, 25000
881, Kenna, 120, 25000
882, Rina, 75, 25000
888, Katlin, 88, 25000
924, Orlan, 60, 25000
941, Nina, 120, 25000
943, Loria, 180, 25000
947, Martyn, 180, 25000
948, Agustin, 75, 25000
951, Wake, 220, 25000
986, Ferd, 88, 25000
989, Wandie, 60, 25000
998, Jaye, 75, 25000
6, Gayle, 120, 30000
8, Henrieta, 90, 30000
19, Park, 120, 30000
41, Brnaba, 180, 30000
47, Raine, 180, 30000
80, Jesselyn, 180, 30000
88, George, 60, 30000
89, Guenevere, 90, 30000
98, Jacquelin, 120, 30000
110, Dominick, 75, 30000
112, Tersina, 75, 30000
122, Linda, 88, 30000
128, Zacharie, 75, 30000
132, Dante, 60, 30000
142, Tanya, 88, 30000
164, Cathrin, 120, 30000
174, Prentiss, 60, 30000
176, Wanids, 325, 30000
183, Ruthe, 325, 30000
185, Marcellus, 180, 30000
190, Waldon, 90, 30000
200, Alana, 220, 30000
205, Mallorie, 88, 30000
211, Marcile, 120, 30000
214, Nicolina, 90, 30000
226, Trula, 88, 30000
227, Adel, 180, 30000
232, Alla, 88, 30000
249, Jessee, 90, 30000
251, Jenna, 180, 30000
258, Sydelle, 220, 30000
266, Arel, 88, 30000
286, Jodi, 90, 30000
287, Ofelia, 120, 30000
301, Cos, 75, 30000
337, Lira, 60, 30000
339, Nona, 75, 30000
360, Honor, 120, 30000
370, Ingrim, 120, 30000
380, Fran, 220, 30000
398, Easter, 88, 30000
404, Willa, 325, 30000
411, Frayda, 60, 30000
412, Babita, 90, 30000
455, Hilly, 325, 30000
494, Mirilla, 180, 30000
497, Fredia, 220, 30000
501, Gabi, 220, 30000
586, Umeko, 220, 30000
596, Dylan, 120, 30000
612, Fidole, 75, 30000
616, Hetti, 75, 30000
617, Kirk, 180, 30000
650, Hugo, 60, 30000
652, Cesaro, 325, 30000
670, Arlette, 220, 30000
680, Flore, 75, 30000
685, Yul, 60, 30000
697, Robbie, 120, 30000
704, Pauly, 120, 30000
710, Nikolaus, 88, 30000
775, Wilie, 90, 30000
790, Noll, 120, 30000
804, Earle, 90, 30000
808, Emanuel, 75, 30000
840, Wadsworth, 325, 30000
856, Henrieta, 180, 30000
867, Emmanuel, 220, 30000
884, Lona, 220, 30000
886, Bailey, 88, 30000
898, Ki, 220, 30000
928, Hayden, 180, 30000
940, Josefina, 90, 30000
974, Herrick, 75, 30000
978, Warner, 90, 30000
7, Kimberlee, 60, 33000
23, Johnny, 325, 33000
28, Doro, 120, 33000
54, Julina, 120, 33000
56, Bernardine, 75, 33000
65, Star, 90, 33000
66, Dominica, 120, 33000
70, Sayre, 180, 33000
76, Nananne, 120, 33000
104, Geneva, 90, 33000
117, Cherrita, 180, 33000
131, Tom, 75, 33000
144, Flora, 90, 33000
165, Sib, 60, 33000
172, Addy, 325, 33000
207, Maddie, 60, 33000
219, Kaile, 325, 33000
221, Aylmer, 325, 33000
224, Zonda, 325, 33000
225, Adriano, 220, 33000
230, Liana, 60, 33000
299, Jody, 180, 33000
304, Coleman, 220, 33000
307, Renie, 90, 33000
324, Ad, 90, 33000
328, Matias, 60, 33000
330, Rosemarie, 220, 33000
340, Melloney, 325, 33000
348, Jefferey, 220, 33000
368, Clywd, 220, 33000
382, Alister, 90, 33000
392, Vikki, 88, 33000
397, Charil, 88, 33000
401, Vail, 120, 33000
405, Amerigo, 88, 33000
424, Chuck, 325, 33000
425, Jordan, 90, 33000
427, Carine, 180, 33000
454, Korella, 325, 33000
477, Mariele, 60, 33000
486, Bartholomew, 120, 33000
492, Minny, 90, 33000
493, Joshia, 75, 33000
534, Bunnie, 120, 33000
535, Frans, 88, 33000
552, Delmore, 180, 33000
555, Clarice, 180, 33000
568, Modesta, 120, 33000
569, Carter, 88, 33000
571, Carma, 220, 33000
581, Tiphani, 220, 33000
589, Hesther, 180, 33000
594, Cyndia, 88, 33000
606, Dedie, 88, 33000
610, Sayre, 90, 33000
640, Wolfy, 120, 33000
642, Elinor, 60, 33000
674, Lamont, 220, 33000
675, Immanuel, 75, 33000
696, Erhard, 75, 33000
698, Paddie, 90, 33000
700, Abbot, 90, 33000
701, Tedra, 90, 33000
729, Osbert, 75, 33000
731, Cassandry, 60, 33000
744, Melonie, 90, 33000
748, Mitchael, 90, 33000
752, Arch, 180, 33000
761, Galvan, 120, 33000
765, Jenny, 180, 33000
771, Portia, 60, 33000
781, Felike, 75, 33000
784, Marianne, 60, 33000
792, Jermayne, 75, 33000
793, Grayce, 325, 33000
796, Hersh, 180, 33000
797, Diahann, 88, 33000
819, Roch, 220, 33000
843, Grant, 220, 33000
855, Vassili, 120, 33000
870, Pearla, 220, 33000
871, Phelia, 60, 33000
883, Callida, 88, 33000
910, Atlante, 120, 33000
936, Carolina, 88, 33000
954, Laetitia, 90, 33000
963, Arley, 120, 33000
976, Arlina, 325, 33000
984, Pebrook, 60, 33000
985, Erna, 325, 33000
991, Zaccaria, 88, 33000
17, Ernesta, 60, 37000
29, Gaye, 120, 37000
55, Corina, 220, 37000
64, Gabbey, 120, 37000
87, Joelle, 90, 37000
95, Kyrstin, 90, 37000
119, Glenda, 220, 37000
171, Clair, 180, 37000
181, Guillaume, 60, 37000
187, Sebastien, 75, 37000
209, Asia, 325, 37000
240, Billie, 75, 37000
264, Stephen, 120, 37000
272, Duncan, 60, 37000
285, Bartel, 60, 37000
296, Leigh, 90, 37000
310, Brnaba, 90, 37000
311, Tabor, 120, 37000
317, Web, 90, 37000
323, Hilary, 90, 37000
336, Dominique, 220, 37000
341, Rafaello, 180, 37000
357, Nisse, 220, 37000
367, Maryellen, 120, 37000
372, Andy, 75, 37000
399, Esdras, 120, 37000
428, Kelly, 325, 37000
458, Kassi, 325, 37000
461, Anthia, 60, 37000
466, Carlye, 120, 37000
480, Marissa, 90, 37000
481, Lionello, 60, 37000
483, Micheil, 220, 37000
488, Hedvige, 220, 37000
499, Bibbie, 60, 37000
507, Patrice, 220, 37000
518, Erda, 325, 37000
520, Coop, 90, 37000
527, Eveline, 325, 37000
531, Maxi, 75, 37000
532, Nathalie, 120, 37000
553, Lynett, 120, 37000
556, Aeriela, 120, 37000
574, Phillipe, 88, 37000
575, Florida, 180, 37000
588, Lynnette, 220, 37000
592, Corabelle, 220, 37000
598, Eachelle, 180, 37000
620, Lissy, 60, 37000
625, Tonya, 180, 37000
626, Menard, 88, 37000
630, Lyndy, 180, 37000
686, Rosalyn, 325, 37000
688, Xenos, 88, 37000
730, Emmet, 90, 37000
740, Chen, 325, 37000
757, Kerianne, 220, 37000
759, Nanete, 90, 37000
763, Davidson, 75, 37000
772, Alica, 60, 37000
788, Adelaida, 180, 37000
799, Emmaline, 88, 37000
807, Wini, 88, 37000
831, Christina, 60, 37000
848, Rasia, 60, 37000
850, Amanda, 325, 37000
857, Devlen, 120, 37000
858, Ophelie, 120, 37000
859, Abramo, 325, 37000
860, Fair, 60, 37000
876, Cecil, 75, 37000
891, Conant, 75, 37000
906, Lynn, 325, 37000
916, Saunder, 180, 37000
918, Alysia, 325, 37000
925, Wittie, 90, 37000
930, Emory, 325, 37000
934, Dorette, 120, 37000
935, Jillane, 90, 37000
939, Verina, 75, 37000
944, Isabeau, 88, 37000
964, Ansley, 75, 37000
967, Esme, 120, 37000
988, Dawn, 180, 37000
996, Atalanta, 90, 37000
24, Reagen, 90, 42000
27, Anthea, 90, 42000
32, Katey, 180, 42000
34, Redd, 88, 42000
37, Stefa, 88, 42000
50, Carroll, 220, 42000
73, Cristi, 88, 42000
93, Nicky, 180, 42000
105, Kilian, 120, 42000
109, Trixie, 325, 42000
129, Vina, 88, 42000
139, Yankee, 88, 42000
140, Corbin, 120, 42000
147, Gustie, 180, 42000
153, Byram, 90, 42000
155, Osbert, 120, 42000
156, Tanny, 325, 42000
158, Clarie, 60, 42000
166, Darleen, 220, 42000
186, Ian, 75, 42000
192, Farand, 88, 42000
194, Philipa, 325, 42000
198, Eleonora, 120, 42000
212, Thomasina, 60, 42000
217, Dwight, 220, 42000
239, Chet, 325, 42000
241, Alexandra, 75, 42000
242, Broddie, 90, 42000
244, Cal, 120, 42000
247, Dotty, 180, 42000
250, Tiphani, 88, 42000
288, Dudley, 90, 42000
295, Catriona, 60, 42000
308, Davide, 325, 42000
312, Lenci, 90, 42000
322, Richard, 90, 42000
325, Maynord, 220, 42000
353, Carita, 180, 42000
369, Deni, 60, 42000
371, Franni, 325, 42000
373, Veronica, 75, 42000
374, Dalis, 60, 42000
389, Anna-maria, 120, 42000
413, Clair, 75, 42000
416, Dennie, 75, 42000
430, Pincus, 88, 42000
434, Brietta, 75, 42000
447, Guy, 180, 42000
449, Julietta, 220, 42000
482, Tori, 120, 42000
509, Cornie, 180, 42000
513, Lorna, 325, 42000
515, Torrey, 325, 42000
522, Charles, 180, 42000
524, Janey, 120, 42000
530, Mort, 90, 42000
536, Delmar, 325, 42000
554, Lucais, 90, 42000
582, Grier, 88, 42000
595, Gray, 120, 42000
619, Lyndsay, 180, 42000
643, Neron, 180, 42000
646, Arlie, 88, 42000
658, Dorrie, 120, 42000
662, Byrom, 180, 42000
664, Natassia, 325, 42000
673, Lambert, 325, 42000
682, Tally, 75, 42000
684, Sly, 60, 42000
689, Terrence, 75, 42000
694, Terrie, 75, 42000
707, Petronille, 75, 42000
711, Cinda, 120, 42000
715, Lucky, 325, 42000
718, Fina, 220, 42000
719, Kamila, 88, 42000
720, Jennie, 88, 42000
721, Riobard, 180, 42000
723, Darlene, 180, 42000
724, Zia, 75, 42000
727, Rickie, 220, 42000
733, Evvy, 75, 42000
754, Amber, 325, 42000
777, Ree, 90, 42000
779, Melva, 120, 42000
785, Francine, 120, 42000
791, Ki, 60, 42000
794, Harv, 325, 42000
802, Sheilah, 180, 42000
806, Almira, 220, 42000
813, Agnes, 88, 42000
816, Michele, 88, 42000
823, Tania, 325, 42000
824, Mercie, 90, 42000
847, Estella, 220, 42000
863, Cherish, 90, 42000
868, Trumaine, 88, 42000
869, Malory, 220, 42000
887, Guillermo, 75, 42000
889, Flo, 325, 42000
894, Gabbie, 220, 42000
900, Riccardo, 90, 42000
905, Freda, 60, 42000
909, Leo, 88, 42000
920, Gretna, 220, 42000
952, Edwina, 75, 42000
960, Zitella, 120, 42000
972, Sloan, 325, 42000
975, Aleksandr, 88, 42000
979, Libbey, 120, 42000
987, Mohammed, 220, 42000
4, Kimbell, 120, 50000
12, Cordelie, 325, 50000
13, Shel, 120, 50000
18, Cirillo, 88, 50000
22, Eugene, 88, 50000
35, Jehanna, 220, 50000
42, Ame, 88, 50000
44, Margarete, 120, 50000
45, Nikoletta, 120, 50000
46, Lonnard, 75, 50000
51, Marion, 88, 50000
59, Celene, 120, 50000
60, Kori, 90, 50000
69, Paulita, 120, 50000
92, Lonni, 220, 50000
97, Marcellus, 88, 50000
99, Aleda, 90, 50000
115, Harmon, 220, 50000
134, Stephenie, 220, 50000
138, Brynn, 75, 50000
160, Leonie, 325, 50000
162, Ofella, 90, 50000
175, Lorant, 88, 50000
178, Mellicent, 75, 50000
184, Eric, 60, 50000
188, Scarface, 220, 50000
208, Weider, 88, 50000
218, Romola, 88, 50000
223, Enrico, 325, 50000
259, Merrile, 180, 50000
260, Tadd, 60, 50000
265, Blair, 180, 50000
268, Channa, 325, 50000
274, Dyann, 75, 50000
276, Dru, 75, 50000
277, Kiel, 75, 50000
279, Alberik, 88, 50000
281, Rafaellle, 180, 50000
292, Christiano, 60, 50000
293, Russell, 220, 50000
294, Cleo, 120, 50000
305, Jacinda, 60, 50000
314, Charisse, 180, 50000
316, Angelika, 220, 50000
329, Urbano, 60, 50000
345, Aldric, 220, 50000
349, Cassie, 88, 50000
352, Marieann, 325, 50000
354, Kurtis, 88, 50000
358, Ula, 75, 50000
361, Sinclair, 60, 50000
362, Buddy, 120, 50000
363, Neilla, 180, 50000
387, Juliann, 90, 50000
390, Ag, 88, 50000
391, Sherwin, 88, 50000
406, Fredric, 325, 50000
407, Mikael, 220, 50000
452, Samara, 88, 50000
470, Rod, 75, 50000
472, Saidee, 325, 50000
475, Coletta, 90, 50000
490, Tamarah, 88, 50000
496, Conrado, 220, 50000
502, Callie, 220, 50000
505, Martguerita, 90, 50000
516, Pernell, 325, 50000
521, Sheridan, 120, 50000
546, Henrie, 75, 50000
580, Delaney, 88, 50000
591, Emlyn, 325, 50000
603, Cahra, 325, 50000
604, Arvin, 220, 50000
615, Idalina, 120, 50000
621, Odessa, 120, 50000
633, Shandra, 120, 50000
639, Marylee, 60, 50000
656, Filmer, 90, 50000
671, Jacqueline, 90, 50000
676, Nani, 220, 50000
677, Galen, 60, 50000
679, Tomi, 60, 50000
690, Krystyna, 60, 50000
691, Krishna, 325, 50000
709, Hagan, 120, 50000
726, Jonathon, 220, 50000
728, Klara, 180, 50000
753, Andrej, 88, 50000
773, Juliana, 180, 50000
786, Edan, 60, 50000
798, Yelena, 180, 50000
801, Janine, 60, 50000
815, Lefty, 220, 50000
830, Cale, 60, 50000
837, Corrina, 75, 50000
838, Hashim, 88, 50000
845, Yardley, 60, 50000
862, Holden, 180, 50000
901, Shaughn, 180, 50000
907, Tabb, 325, 50000
911, Maurie, 180, 50000
938, Arabel, 180, 50000
953, Lacey, 75, 50000
958, Trista, 75, 50000
969, Charlie, 325, 50000
